text,keywords_indices,keywords_count
"['which', 'family', 'members', 'of', 'obama', 'are', 'you', 'interested', 'in', 'learning', 'more', 'about']",[2],1
"['i', 'am', 'interested', 'in', 'learning', 'about', 'where', 'obamas', 'parents', 'and', 'grandparents', 'came', 'from']","[8, 10, 11]",3
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 3, 5]",3
"['which', 'specific', 'details', 'would', 'you', 'like', 'to', 'learn', 'about', 'obamas', 'heritage']","[1, 2, 9]",3
"['where', 'they', 'were', 'born', 'at']",[3],1
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 3, 5]",3
"['would', 'you', 'like', 'to', 'hear', 'about', 'president', 'obamas', 'family', 'tree']","[0, 7, 9]",3
"['yes', 'but', 'focus', 'on', 'his', 'parents', 'and', 'grandparents']","[2, 7]",2
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 3, 5]",3
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']","[4, 5, 7]",3
"['are', 'you', 'interested', 'in', 'seeing', 'barack', 'obamas', 'family']","[5, 6]",2
"['yes', 'please', 'find', 'me', 'information', 'on', 'barack', 'obamas', 'mother']","[0, 6, 8]",3
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']","[4, 5, 7]",3
"['would', 'you', 'like', 'to', 'know', 'barack', 'obamas', 'geneology']","[5, 6, 7]",3
"['i', 'would', 'like', 'biographical', 'information', 'on', 'his', 'mother']","[2, 3, 7]",3
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']",[4],1
"['would', 'you', 'like', 'to', 'know', 'about', 'obamas', 'ancestors']","[0, 6, 7]",3
"['yes', 'specifically', 'his', 'mother']",[0],1
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']","[1, 4, 7]",3
"['would', 'you', 'like', 'to', 'know', 'who', 'is', 'currently', 'alive', 'from', 'president', 'obamas', 'family', 'tree']","[7, 11, 13]",3
"['no', 'i', 'would', 'like', 'baracks', 'mothers', 'biological', 'information']",[4],1
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']","[4, 5, 7]",3
"['are', 'you', 'referring', 'to', 'the', 'time', 'magazine', 'essay']",[2],1
"['no', 'i', 'just', 'want', 'bio', 'information', 'about', 'barack', 'obamas', 'mother']","[7, 8]",2
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']","[4, 5]",2
"['do', 'you', 'want', 'to', 'know', 'more', 'about', 'obamas', 'parents']",[8],1
"['yes', 'i', 'only', 'want', 'to', 'find', 'the', 'biographical', 'information', 'on', 'barack', 'obamas', 'mother', 'right', 'now']","[10, 11, 13]",3
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']","[1, 4, 7]",3
"['how', 'many', 'generations', 'would', 'you', 'like', 'me', 'to', 'list', 'from', 'president', 'obamas', 'family', 'tree']","[8, 11, 13]",3
"['i', 'dont', 'want', 'his', 'family', 'tree', 'i', 'just', 'want', 'biographical', 'information', 'on', 'his', 'mother']",[5],1
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']","[4, 5, 7]",3
"['i', 'would', 'like', 'to', 'know', 'information', 'about', 'obamas', 'mother']","[2, 7, 8]",3
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']","[4, 5, 7]",3
"['which', 'family', 'members', 'of', 'obama', 'are', 'you', 'interested', 'in', 'learning', 'more', 'about']",[4],1
"['i', 'would', 'like', 'to', 'learn', 'about', 'his', 'entire', 'family', 'tree']",[9],1
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']","[0, 4, 5]",3
"['which', 'specific', 'details', 'would', 'you', 'like', 'to', 'learn', 'about', 'obamas', 'heritage']","[2, 7, 9]",3
"['i', 'want', 'to', 'know', 'about', 'obamas', 'mother']","[5, 6]",2
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']","[0, 4, 5]",3
"['would', 'you', 'like', 'to', 'hear', 'about', 'president', 'obamas', 'family', 'tree']","[7, 8, 9]",3
"['i', 'want', 'information', 'on', 'his', 'mother']",[5],1
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']","[0, 4, 5]",3
"['what', 'are', 'some', 'low', 'cost', 'broadband', 'internet', 'providers']",[6],1
"['or', 'maybe', 'free', 'internet']","[2, 3]",2
"['not', 'completely', 'free', 'but', 'for', 'as', 'little', 'money', 'as', 'possible']",[2],1
"['what', 'are', 'some', 'low', 'cost', 'broadband', 'internet', 'providers']","[6, 7]",2
"['are', 'you', 'looking', 'for', 'any', 'bundles', 'or', 'deals']",[7],1
"['yes', 'just', 'anything', 'from', 'cheap', 'isps']","[4, 5]",2
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['are', 'you', 'interested', 'in', 'finding', 'cheap', 'items', 'on', 'the', 'internet']",[2],1
"['yes', 'i', 'would', 'like', 'to', 'no', 'if', 'any', 'isps', 'sell', 'dial', 'up', 'at', 'a', 'low', 'price']",[10],1
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']",[2],1
"['are', 'you', 'wondering', 'who', 'used', 'cheap', 'internet']",[5],1
"['no', 'can', 'i', 'still', 'get', 'dialup', 'access']",[3],1
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['do', 'you', 'already', 'have', 'a', 'phone', 'service']","[2, 5]",2
"['i', 'just', 'want', 'to', 'know', 'if', 'dial', 'up', 'is', 'still', 'an', 'option']",[6],1
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['how', 'do', 'you', 'know', 'if', 'your', 'internet', 'service', 'is', 'inexpensive']",[6],1
"['i', 'dont', 'know']",[1],1
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['or', 'maybe', 'free', 'internet']","[2, 3]",2
"['no', 'i', 'would', 'like', 'to', 'find', 'an', 'internet', 'provider', 'that', 'sells', 'dialup']",[2],1
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['what', 'companies', 'have', 'the', 'lowestcost', 'internet', 'service']",[5],1
"['i', 'am', 'looking', 'for', 'those', 'internet', 'providers', 'that', 'have', 'dialup', 'still']",[10],1
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['are', 'you', 'interested', 'in', 'lowcost', 'internet', 'providers']","[2, 5, 6]",3
"['yes', 'i', 'am', 'interested', 'if', 'there', 'are', 'any', 'providers', 'who', 'still', 'sell', 'dialup']","[0, 3, 10]",3
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['are', 'you', 'looking', 'for', 'any', 'bundles', 'or', 'deals']","[5, 7]",2
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['are', 'you', 'looking', 'for', 'information', 'on', 'any', 'specific', 'internet', 'technology']","[4, 8]",2
"['yes', 'dialup']",[0],1
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['are', 'you', 'looking', 'to', 'buy', 'cheap', 'internet']","[5, 6]",2
"['yes', 'but', 'more', 'specifically', 'i', 'am', 'wondering', 'if', 'any', 'internet', 'providers', 'still', 'sell', 'dialup']","[0, 11]",2
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['are', 'you', 'upset', 'by', 'the', 'quality', 'of', 'your', 'internet', 'service']",[5],1
"['no', 'my', 'query', 'is', 'related', 'to', 'type', 'of', 'internet', 'service', 'not', 'quality']","[2, 4]",2
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['are', 'you', 'wondering', 'how', 'to', 'reduce', 'your', 'internet', 'bill']",[7],1
"['yes', 'specifically', 'through', 'switching', 'to', 'a', 'dial', 'up', 'service']",[0],1
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']",[2],1
"['are', 'you', 'wondering', 'where', 'cheap', 'internet', 'is']",[4],1
"['no', 'i', 'want', 'to', 'know', 'if', 'dialup', 'is', 'still', 'offered']",[2],1
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['are', 'you', 'wondering', 'which', 'provider', 'has', 'the', 'cheapest', 'internet']",[8],1
"['no', 'i', 'was', 'wondering', 'if', 'dialup', 'is', 'still', 'a', 'thing', 'any', 'internet', 'providers', 'currently', 'sell']","[7, 11]",2
"['do', 'any', 'internet', 'providers', 'still', 'sell', 'dial', 'up']","[2, 4]",2
"['i', 'want', 'to', 'find', 'cheap', 'dsl', 'providers']","[1, 4, 5]",3
"['are', 'you', 'interested', 'in', 'finding', 'cheap', 'items', 'on', 'the', 'internet']","[5, 9]",2
"['i', 'want', 'to', 'find', 'cheap', 'dsl', 'providers']","[1, 6]",2
"['no', 'i', 'was', 'wondering', 'who', 'the', 'cheapest', 'dsl', 'providers', 'are']",[8],1
"['i', 'want', 'to', 'find', 'cheap', 'dsl', 'providers']","[1, 4, 6]",3
"['i', 'am', 'looking', 'for', 'cheap', 'dsl', 'providers']",[4],1
"['i', 'want', 'to', 'find', 'cheap', 'dsl', 'providers']",[6],1
"['or', 'maybe', 'free', 'internet']",[1],1
"['yes', 'free', 'or', 'low', 'cost']",[1],1
"['i', 'want', 'to', 'find', 'cheap', 'dsl', 'providers']","[1, 4, 5]",3
"['what', 'companies', 'have', 'the', 'lowestcost', 'internet', 'service']",[5],1
"['i', 'want', 'to', 'find', 'cheap', 'dsl', 'providers']","[1, 4, 5]",3
"['yes', 'i', 'need', 'a', 'list', 'of', 'the', 'companies', 'in', 'my', 'area', 'that', 'have', 'the', 'lowest', 'price', 'for', 'providing', 'internet']","[15, 18]",2
"['i', 'want', 'to', 'find', 'cheap', 'dsl', 'providers']","[1, 4, 5]",3
"['are', 'you', 'wondering', 'where', 'cheap', 'internet', 'is']","[4, 5]",2
"['i', 'want', 'cheap', 'dsl', 'providers']","[1, 2]",2
"['i', 'want', 'to', 'find', 'cheap', 'dsl', 'providers']","[1, 4, 5]",3
"['are', 'you', 'wondering', 'which', 'provider', 'has', 'the', 'cheapest', 'internet']",[8],1
"['i', 'want', 'to', 'find', 'cheap', 'dsl', 'providers']","[1, 4, 5]",3
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[6, 8, 10]",3
"['are', 'you', 'looking', 'for', 'a', 'specific', 'web', 'site']",[2],1
"['yes', 'for', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']",[0],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[0, 1, 8]",3
"['would', 'you', 'like', 'the', 'history', 'of', 'ritz', 'carlton', 'lake', 'las', 'vegas']",[0],1
"['where', 'can', 'i', 'find', 'the', 'history', 'of', 'the', 'ritz', 'carton', 'lake', 'in', 'las', 'vegas']",[3],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[0, 1, 8]",3
"['would', 'you', 'like', 'the', 'location', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']",[0],1
"['yes', 'along', 'with', 'other', 'information']",[0],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[0, 1, 8]",3
"['would', 'you', 'like', 'to', 'know', 'the', 'capacity', 'of', 'ritz', 'carlton', 'lake', 'las', 'vegas']",[0],1
"['yes', 'and', 'other', 'information']",[0],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[6, 8, 10]",3
"['would', 'you', 'like', 'to', 'know', 'where', 'ritz', 'carlton', 'lake', 'las', 'vegas', 'is', 'on', 'a', 'map']",[0],1
"['no', 'i', 'want', 'to', 'know', 'more', 'about', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas', 'resort']",[2],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[1, 8, 10]",3
"['would', 'you', 'like', 'to', 'read', 'some', 'reviews', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']",[0],1
"['no', 'i', 'just', 'need', 'information', 'on', 'the', 'ritz', 'carlton']",[3],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[0, 8, 10]",3
"['are', 'you', 'looking', 'for', 'any', 'specific', 'games', 'to', 'play', 'there']",[2],1
"['no', 'i', 'just', 'want', 'general', 'information', 'about', 'the', 'resort']",[3],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[0, 1, 8]",3
"['are', 'you', 'looking', 'for', 'directions', 'to', 'the', 'ritz', 'carlton', 'in', 'las', 'vegas']",[2],1
"['possibly', 'but', 'only', 'the', 'one', 'that', 'has', 'a', 'lake']",[0],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[1, 8]",2
"['are', 'you', 'looking', 'for', 'the', 'closest', 'lake', 'to', 'the', 'ritz', 'carlton', 'in', 'las', 'vegas']",[6],1
"['no', 'i', 'am', 'trying', 'to', 'find', 'information', 'about', 'the', 'ritz', 'carlton', 'at', 'lake', 'las', 'vegas']","[3, 12]",2
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[1, 8]",2
"['are', 'you', 'wanting', 'a', 'room', 'at', 'the', 'ritz', 'carlton', 'in', 'las', 'vegas']",[2],1
['yes'],[0],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[1, 8]",2
"['are', 'you', 'wanting', 'the', 'rates', 'for', 'the', 'ritz', 'carlton', 'in', 'las', 'vegas']",[2],1
['yes'],[0],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[0, 1, 8]",3
"['are', 'you', 'wondering', 'where', 'the', 'ritz', 'carlton', 'in', 'las', 'vegas', 'is', 'located']",[2],1
"['yes', 'but', 'also', 'tell', 'me', 'general', 'information', 'about', 'it']",[0],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[0, 1, 8]",3
"['do', 'you', 'need', 'a', 'reservation', 'at', 'the', 'ritz', 'carlton', 'in', 'las', 'vegas']",[7],1
"['just', 'information']",[1],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[6, 8, 10]",3
"['do', 'you', 'want', 'historical', 'information', 'on', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']",[2],1
"['i', 'dont', 'know', 'i', 'think', 'i', 'am', 'more', 'interested', 'in', 'current', 'information']",[1],1
"['find', 'information', 'about', 'the', 'ritz', 'carlton', 'resort', 'at', 'lake', 'las', 'vegas']","[4, 6]",2
"['would', 'you', 'like', 'to', 'read', 'some', 'reviews', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']","[6, 11, 13]",3
"['find', 'reviews', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']","[5, 6, 8]",3
"['would', 'you', 'like', 'the', 'history', 'of', 'ritz', 'carlton', 'lake', 'las', 'vegas']","[0, 4, 8]",3
"['find', 'reviews', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']","[5, 6, 8]",3
"['would', 'you', 'like', 'the', 'location', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']","[0, 9]",2
"['find', 'reviews', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']","[5, 6, 8]",3
"['no', 'i', 'want', 'to', 'get', 'reviews', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']",[10],1
"['find', 'reviews', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']","[5, 6, 8]",3
"['would', 'you', 'like', 'to', 'read', 'some', 'reviews', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']","[11, 13]",2
"['find', 'reviews', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']","[0, 6, 8]",3
"['no', 'i', 'am', 'trying', 'to', 'find', 'reviews', 'for', 'the', 'ritz', 'carlton']",[3],1
"['find', 'reviews', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']","[0, 6]",2
"['no', 'i', 'am', 'wanting', 'to', 'know', 'the', 'reviews', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']",[12],1
"['find', 'reviews', 'of', 'the', 'ritz', 'carlton', 'lake', 'las', 'vegas']","[0, 6]",2
"['find', 'information', 'about', 'staying', 'at', 'the', 'bed', 'and', 'breakfast', 'at', 'fickle', 'creek', 'farm']","[3, 8]",2
"['are', 'you', 'going', 'to', 'purchase', 'anything', 'there']","[2, 4, 5]",3
"['not', 'sure', 'i', 'just', 'need', 'information', 'about', 'staying', 'there']",[7],1
"['find', 'information', 'about', 'staying', 'at', 'the', 'bed', 'and', 'breakfast', 'at', 'fickle', 'creek', 'farm']","[3, 10]",2
"['are', 'you', 'looking', 'for', 'information', 'about', 'staying', 'at', 'fickle', 'creek', 'farm']","[6, 8]",2
"['yes', 'i', 'am', 'looking', 'for', 'information', 'about', 'staying', 'at', 'fickle', 'creek', 'farm']","[0, 7, 9]",3
"['find', 'information', 'about', 'staying', 'at', 'the', 'bed', 'and', 'breakfast', 'at', 'fickle', 'creek', 'farm']","[3, 8]",2
"['are', 'you', 'looking', 'for', 'specific', 'information', 'regarding', 'fickle', 'creek', 'farm']",[4],1
"['find', 'information', 'about', 'staying', 'at', 'the', 'bed', 'and', 'breakfast', 'at', 'fickle', 'creek', 'farm']","[3, 10]",2
"['do', 'you', 'want', 'to', 'know', 'the', 'animal', 'population', 'at', 'fickle', 'creek', 'farm']","[4, 11]",2
"['no', 'i', 'would', 'like', 'to', 'know', 'about', 'staying', 'at', 'the', 'bed', 'and', 'breakfast', 'at', 'fickle', 'creek', 'farm']","[5, 7]",2
"['find', 'information', 'about', 'staying', 'at', 'the', 'bed', 'and', 'breakfast', 'at', 'fickle', 'creek', 'farm']",[3],1
"['i', 'want', 'information', 'about', 'staying', 'at', 'fickle', 'creek', 'farms', 'bed', 'and', 'breakfast']",[4],1
"['find', 'information', 'about', 'staying', 'at', 'the', 'bed', 'and', 'breakfast', 'at', 'fickle', 'creek', 'farm']",[3],1
"['no', 'i', 'would', 'like', 'information', 'about', 'staying', 'at', 'the', 'bed', 'and', 'breakfast', 'at', 'fickle', 'creek', 'farm']",[6],1
"['find', 'information', 'about', 'staying', 'at', 'the', 'bed', 'and', 'breakfast', 'at', 'fickle', 'creek', 'farm']","[3, 8]",2
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[2, 4, 7]",3
"['are', 'you', 'looking', 'for', 'sarah', 'breedlove']",[4],1
"['no', 'im', 'looing', 'for', 'madam', 'cj', 'walker']",[1],1
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[4, 7]",2
"['would', 'you', 'like', 'to', 'know', 'the', 'birthplace', 'of', 'madam', 'cj', 'walker']","[8, 10]",2
['yes'],[0],1
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[2, 4, 7]",3
"['would', 'you', 'like', 'to', 'see', 'examples', 'of', 'walkers', 'impact', 'on', 'current', 'hair', 'styling']","[7, 11, 12]",3
"['no', 'i', 'want', 'to', 'know', 'more', 'about', 'madam', 'c', 'j', 'walkers', 'life', 'history']","[2, 7, 10]",3
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[1, 4, 7]",3
"['would', 'you', 'like', 'to', 'see', 'facts', 'about', 'madam', 'cj', 'walkers', 'early', 'life']","[7, 9]",2
"['yes', 'that', 'would', 'be', 'historical']","[0, 2]",2
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[1, 4, 7]",3
"['would', 'you', 'like', 'to', 'see', 'more', 'early', 'africanamerican', 'entrepeneurs']","[2, 4]",2
"['no', 'just', 'of', 'madam', 'c', 'j', 'walker']",[3],1
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[1, 4, 7]",3
"['are', 'you', 'looking', 'for', 'any', 'specific', 'information', 'about', 'the', 'business', 'she', 'started']","[5, 9, 11]",3
"['no', 'i', 'am', 'just', 'looking', 'for', 'historical', 'information', 'on', 'her']",[6],1
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[4, 5, 7]",3
"['are', 'you', 'looking', 'for', 'her', 'whereabouts']",[2],1
"['no', 'i', 'would', 'like', 'to', 'learn', 'the', 'historical', 'information', 'on', 'madam', 'c', 'j', 'walker']","[3, 10]",2
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[4, 7]",2
"['do', 'you', 'want', 'more', 'information', 'on', 'the', 'history', 'of', 'madam', 'cj', 'walker']","[9, 11]",2
"['yes', 'that', 'is', 'precisely', 'what', 'i', 'want']",[6],1
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[4, 5, 7]",3
"['do', 'you', 'want', 'to', 'know', 'what', 'madam', 'cj', 'walker', 'invented']",[6],1
"['i', 'dont', 'know']","[1, 2]",2
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[4, 7]",2
"['do', 'you', 'want', 'to', 'know', 'what', 'madam', 'cj', 'walker', 'is', 'famous', 'for']","[2, 6, 8]",3
"['yes', 'and', 'other', 'historical', 'information', 'about', 'her']","[0, 3]",2
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[4, 7]",2
"['would', 'you', 'like', 'historical', 'information', 'on', 'madam', 'cj', 'walker']","[6, 8]",2
['yes'],[0],1
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[4, 7]",2
"['would', 'you', 'like', 'to', 'know', 'about', 'madam', 'cj', 'walkers', 'products']","[6, 8, 9]",3
"['no', 'i', 'am', 'looking', 'for', 'historical', 'information', 'about', 'the', 'person']",[9],1
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[4, 5, 7]",3
"['would', 'you', 'like', 'to', 'know', 'about', 'walkers', 'method', 'of', 'perming', 'hair']","[0, 2, 10]",3
"['no', 'im', 'looking', 'for', 'information', 'on', 'madam', 'cj', 'walker']","[4, 6, 8]",3
"['find', 'historical', 'information', 'about', 'madam', 'c', 'j', 'walker']","[4, 5, 7]",3
"['find', 'information', 'about', 'the', 'business', 'that', 'c', 'j', 'walker', 'started']","[8, 9]",2
"['are', 'you', 'looking', 'for', 'sarah', 'breedlove']",[4],1
"['find', 'information', 'about', 'the', 'business', 'that', 'c', 'j', 'walker', 'started']","[8, 9]",2
"['would', 'you', 'like', 'to', 'know', 'the', 'birthplace', 'of', 'madam', 'cj', 'walker']","[2, 8, 10]",3
"['no', 'i', 'want', 'information', 'about', 'her', 'business']",[6],1
"['find', 'information', 'about', 'the', 'business', 'that', 'c', 'j', 'walker', 'started']","[4, 8, 9]",3
"['would', 'you', 'like', 'to', 'see', 'examples', 'of', 'walkers', 'impact', 'on', 'current', 'hair', 'styling']","[7, 11]",2
"['if', 'that', 'was', 'her', 'business', 'then', 'yes']",[4],1
"['find', 'information', 'about', 'the', 'business', 'that', 'c', 'j', 'walker', 'started']","[6, 8, 9]",3
"['would', 'you', 'like', 'to', 'see', 'facts', 'about', 'madam', 'cj', 'walkers', 'early', 'life']","[7, 9, 11]",3
['yes'],[0],1
"['find', 'information', 'about', 'the', 'business', 'that', 'c', 'j', 'walker', 'started']","[8, 9]",2
"['would', 'you', 'like', 'to', 'see', 'more', 'early', 'africanamerican', 'entrepeneurs']",[4],1
"['no', 'i', 'would', 'like', 'information', 'about', 'the', 'business', 'that', 'cj', 'walker', 'started']","[9, 10, 11]",3
"['find', 'information', 'about', 'the', 'business', 'that', 'c', 'j', 'walker', 'started']","[7, 8, 9]",3
"['are', 'you', 'looking', 'for', 'any', 'specific', 'information', 'about', 'the', 'business', 'she', 'started']","[2, 5, 11]",3
"['i', 'dont', 'know']",[2],1
"['find', 'information', 'about', 'the', 'business', 'that', 'c', 'j', 'walker', 'started']","[6, 8, 9]",3
"['do', 'you', 'want', 'more', 'information', 'on', 'the', 'history', 'of', 'madam', 'cj', 'walker']","[2, 9]",2
